Line,bus0,bus1
0,"(80.8678416, 26.8890605)","(80.869402, 26.8910997)"
1,"(80.869402, 26.8910997)","(80.8704616, 26.894569)"
2,"(80.8704616, 26.894569)","(80.8714768, 26.8977763)"
3,"(80.8714768, 26.8977763)","(80.8726991, 26.9011632)"
4,"(80.8726991, 26.9011632)","(80.8740819, 26.9050228)"
5,"(80.8740819, 26.9050228)","(80.875473, 26.9089054)"
6,"(80.875473, 26.9089054)","(80.8768605, 26.9127779)"
7,"(80.8768605, 26.9127779)","(80.8782537, 26.9166662)"
8,"(80.8782537, 26.9166662)","(80.8793269, 26.9195792)"
9,"(80.9242365, 26.9604027)","(80.9236086, 26.9607711)"
10,"(80.9236086, 26.9607711)","(80.9236244, 26.9616711)"
11,"(80.9236244, 26.9616711)","(80.9240486, 26.9633502)"
12,"(80.9240486, 26.9633502)","(80.9254769, 26.9647137)"
13,"(80.9254769, 26.9647137)","(80.927525, 26.9649287)"
14,"(80.927525, 26.9649287)","(80.9293852, 26.9638958)"
15,"(80.9293852, 26.9638958)","(80.9322317, 26.9623242)"
16,"(80.9322317, 26.9623242)","(80.9333596, 26.9608558)"
17,"(80.9333596, 26.9608558)","(80.9342444, 26.9597511)"
18,"(80.9342444, 26.9597511)","(80.9364137, 26.9570688)"
19,"(80.9364137, 26.9570688)","(80.9384212, 26.9545621)"
20,"(80.9384212, 26.9545621)","(80.940532, 26.9520068)"
21,"(80.940532, 26.9520068)","(80.9412949, 26.9510773)"
22,"(80.9412949, 26.9510773)","(80.9424453, 26.9496757)"
23,"(80.9424453, 26.9496757)","(80.9445935, 26.9470565)"
24,"(80.9445935, 26.9470565)","(80.946938, 26.9441883)"
25,"(80.946938, 26.9441883)","(80.9479835, 26.9429217)"
26,"(80.9479835, 26.9429217)","(80.9511388, 26.9414973)"
27,"(80.9511388, 26.9414973)","(80.9536049, 26.941126)"
28,"(80.9536049, 26.941126)","(80.9567779, 26.9406557)"
29,"(80.9567779, 26.9406557)","(80.9598329, 26.9390383)"
30,"(80.9598329, 26.9390383)","(80.9630692, 26.9372921)"
31,"(80.9630692, 26.9372921)","(80.9652227, 26.9344507)"
32,"(80.9652227, 26.9344507)","(80.9683825, 26.933522)"
33,"(80.9683825, 26.933522)","(80.9716385, 26.9325807)"
34,"(80.9716385, 26.9325807)","(80.9721382, 26.9316358)"
35,"(80.9721382, 26.9316358)","(80.9714742, 26.9303419)"
36,"(80.9714742, 26.9303419)","(80.9715458, 26.9296958)"
37,"(80.9715458, 26.9296958)","(80.971844, 26.9294335)"
38,"(80.9244303, 26.9601407)","(80.9215401, 26.9596795)"
39,"(80.9215401, 26.9596795)","(80.9188251, 26.9591721)"
40,"(80.9188251, 26.9591721)","(80.915709, 26.9567446)"
41,"(80.915709, 26.9567446)","(80.9128518, 26.9544976)"
42,"(80.9128518, 26.9544976)","(80.9099025, 26.9522172)"
43,"(80.9099025, 26.9522172)","(80.9067833, 26.9500489)"
44,"(80.9067833, 26.9500489)","(80.9036889, 26.94784)"
45,"(80.9036889, 26.94784)","(80.9006348, 26.9457007)"
46,"(80.9006348, 26.9457007)","(80.897543, 26.9435464)"
47,"(80.897543, 26.9435464)","(80.8944618, 26.9414016)"
48,"(80.8944618, 26.9414016)","(80.89139, 26.9392635)"
49,"(80.89139, 26.9392635)","(80.888407, 26.9371634)"
50,"(80.888407, 26.9371634)","(80.885249, 26.9349396)"
51,"(80.885249, 26.9349396)","(80.8821679, 26.9327829)"
52,"(80.8821679, 26.9327829)","(80.880296, 26.9314517)"
53,"(80.880296, 26.9314517)","(80.8801345, 26.9314064)"
54,"(80.9244303, 26.9601407)","(80.9215401, 26.9596795)"
55,"(80.9215401, 26.9596795)","(80.9188251, 26.9591721)"
56,"(80.9188251, 26.9591721)","(80.915709, 26.9567446)"
57,"(80.915709, 26.9567446)","(80.9128518, 26.9544976)"
58,"(80.9128518, 26.9544976)","(80.9099025, 26.9522172)"
59,"(80.9099025, 26.9522172)","(80.9067833, 26.9500489)"
60,"(80.9067833, 26.9500489)","(80.9036889, 26.94784)"
61,"(80.9036889, 26.94784)","(80.9006348, 26.9457007)"
62,"(80.9006348, 26.9457007)","(80.897543, 26.9435464)"
63,"(80.897543, 26.9435464)","(80.8944618, 26.9414016)"
64,"(80.8944618, 26.9414016)","(80.89139, 26.9392635)"
65,"(80.89139, 26.9392635)","(80.888407, 26.9371634)"
66,"(80.888407, 26.9371634)","(80.885249, 26.9349396)"
67,"(80.885249, 26.9349396)","(80.8821679, 26.9327829)"
68,"(80.8821679, 26.9327829)","(80.880296, 26.9314517)"
69,"(80.880296, 26.9314517)","(80.8801345, 26.9314064)"
70,"(81.0486177, 26.9112501)","(81.0485846, 26.9108059)"
71,"(81.0485846, 26.9108059)","(81.0484591, 26.9098871)"
72,"(81.0484591, 26.9098871)","(81.0487446, 26.9070448)"
73,"(81.0487446, 26.9070448)","(81.049003, 26.9048329)"
74,"(81.049003, 26.9048329)","(81.0506139, 26.9031966)"
75,"(81.0506139, 26.9031966)","(81.0515937, 26.9026598)"
76,"(80.9865741, 27.0002624)","(80.9863784, 27.0003901)"
77,"(80.9863784, 27.0003901)","(80.9861108, 27.0010049)"
78,"(80.9861108, 27.0010049)","(80.9830884, 27.0018879)"
79,"(80.9830884, 27.0018879)","(80.9808003, 27.0029811)"
80,"(80.9808003, 27.0029811)","(80.9784526, 27.0046981)"
81,"(80.9784526, 27.0046981)","(80.9788131, 27.0074981)"
82,"(80.9788131, 27.0074981)","(80.9818398, 27.008787)"
83,"(80.9818398, 27.008787)","(80.9850984, 27.0101904)"
84,"(80.9850984, 27.0101904)","(80.9880511, 27.0121876)"
85,"(80.9880511, 27.0121876)","(80.9909535, 27.0143746)"
86,"(80.9909535, 27.0143746)","(80.9932847, 27.0149492)"
87,"(80.9932847, 27.0149492)","(80.9952423, 27.015573)"
88,"(80.9952423, 27.015573)","(80.9974699, 27.0172989)"
89,"(80.9974699, 27.0172989)","(80.9992282, 27.0184647)"
90,"(80.9992282, 27.0184647)","(81.0025352, 27.0171095)"
91,"(81.0025352, 27.0171095)","(81.004768, 27.0170413)"
92,"(81.004768, 27.0170413)","(81.007954, 27.0169558)"
93,"(81.007954, 27.0169558)","(81.010873, 27.0181006)"
94,"(81.010873, 27.0181006)","(81.0146717, 27.0195969)"
95,"(81.0146717, 27.0195969)","(81.018031, 27.0209286)"
96,"(81.018031, 27.0209286)","(81.0194624, 27.0205732)"
97,"(81.0194624, 27.0205732)","(81.0207485, 27.0197576)"
98,"(81.0554284, 26.9475839)","(81.0553614, 26.9474427)"
99,"(81.0553614, 26.9474427)","(81.0556313, 26.9441064)"
100,"(81.0556313, 26.9441064)","(81.0558839, 26.9407699)"
101,"(81.0558839, 26.9407699)","(81.0561479, 26.9375448)"
102,"(81.0561479, 26.9375448)","(81.0552468, 26.9354422)"
103,"(81.0552468, 26.9354422)","(81.0540821, 26.9326898)"
104,"(81.0540821, 26.9326898)","(81.0529208, 26.9299761)"
105,"(81.0529208, 26.9299761)","(81.0517199, 26.9271969)"
106,"(81.0517199, 26.9271969)","(81.0505631, 26.9244318)"
107,"(81.0505631, 26.9244318)","(81.0492645, 26.9213743)"
108,"(81.0492645, 26.9213743)","(81.0481861, 26.9188677)"
109,"(81.0481861, 26.9188677)","(81.047335, 26.9168544)"
110,"(81.047335, 26.9168544)","(81.0473414, 26.9134947)"
111,"(81.0473414, 26.9134947)","(81.0476555, 26.910903)"
112,"(81.0476555, 26.910903)","(81.0480479, 26.907587)"
113,"(81.0480479, 26.907587)","(81.0484238, 26.9042466)"
114,"(81.0484238, 26.9042466)","(81.0505273, 26.9029584)"
115,"(81.0505273, 26.9029584)","(81.0514219, 26.9024367)"
116,"(80.5488586, 26.5642911)","(80.5498808, 26.5632075)"
